full_text,generated
"눈이 팅팅..... 정말 ,..... 대박이다......",0
"눈이 너무 예쁘고, 감탄이 절로 나온다..... 정말 엄청난 작품이다......",1
오지호 연기 징챠 잘 한다 . 그리고 전효성 살인사건 빨리 풀었음 ...,0
오지호의 연기는 정말 대단하다. 그리고 전효성의 살인사건이 신속하게 해결되길 바란다.,1
상실의 시대와 맞물려 창백하게 흘러가는 청춘의 공허함 (리뷰참조하세요),0
"상실의 시대와 연결되어 있는, 희미하게 흐르는 청춘의 공허함에 대한 이야기입니다 (리뷰를 참고해 주세요)",1
좀 하드하고 리얼한 액션..만년악당이었던 이자웅에게는 잘 어울린다..,0
상당히 강렬하고 사실적인 액션이다.. 오랫동안 악당 역할을 맡았던 이자웅에게 매우 잘 어울린다..,1
너무 재밌고 감동 ㅠㅠ 그루 츤데레 그리고 미니언들 너무너무너무귀엽다,0
정말 재미있고 감동적이에요 ㅠㅠ 그루의 츤데레 매력과 미니언들의 귀여움이 대박이에요!,1
중국산 짝퉁 냄새가 풀풀~ 그나마 린즈링 때문에 참는다...,0
중국산 가짜 브랜드 냄새가 진동하네요~ 다행히 린즈링 덕분에 견딜 수 있습니다...,1
잔인하다.. 근데 그뿐이다. 자꾸 코믹요소를 집어넣으려고 하는 의도가 보이는건 무었일까.,0
너무 잔인하다. 하지만 그게 전부이다. 코믹한 요소를 계속 넣으려는 의도가 무엇인지 궁금하다.,1
스무살까지만사세요.스무살까지만 살고싶으면...저는 로즈드윗뷰케이터나이까지살래요,0
스무살까지만 살고 싶다면... 저는 로즈드윗뷰케이터의 나이까지 살고 싶어요.,1
"원색적이고, 탐미적이고 가학적인 영화. 혜원 신윤복은 없고, 여자 신윤복만 있었다. 이럴거면 억지설정까지 해가며 왜 굳이 신윤복이었어야 했을까..? 여자 신윤복에 관해서는 나름 잘 담아 낸 듯...",0
"선명하고, 미학적이며 잔인한 영화. 혜원 신윤복은 등장하지 않고, 오직 여성 신윤복만 존재했다. 그렇게 억지스러운 설정을 추가한다면 왜 하필 신윤복이어야만 했던 걸까? 여성 신윤복에 대한 부분은 어느 정도 잘 표현된 것 같긴 하다.",1
안습작...웃기는건 좋은데...내가 영화관에서 봤다는게 중요함,0
안타까운 작품... 웃긴 부분이 매력적이지만... 내가 영화관에서 관람했다는 사실이 중요한 듯해.,1
1점도 아깝다. 쓰레기 영화. 킬링타임이란 단어 써주기도 아깝다. 존나 어이없는 영화. 씨발영화,0
0점도 아까운 작품이다. 정말 끔찍한 영화다. 시간을 때우는 것조차 아까워지는 수준이다. 정말 어이없는 영화다. 진짜 말도 안 되는 영화.,1
